Datetime,"Leroy Musigny Grand Cru, Cote de Nuits, France","Leroy Domaine d'Auvenay Chevalier-Montrachet Grand Cru, Cote de Beaune, France","Leroy Domaine d'Auvenay Criots-Batard-Montrachet Grand Cru, Cote de Beaune, France","Leroy Chambertin Grand Cru, Cote de Nuits, France","Leroy Domaine d'Auvenay Mazis-Chambertin Grand Cru, Cote de Nuits, France","Leroy Domaine d'Auvenay Les Bonnes-Mares Grand Cru, Cote de Nuits, France","Leroy Corton-Charlemagne Grand Cru, Cote de Beaune, France","Domaine de la Romanee-Conti Montrachet Grand Cru, Cote de Beaune, France","Leroy Richebourg Grand Cru, Cote de Nuits, France","Leroy Romanee-Saint-Vivant Grand Cru, Cote de Nuits, France","Leroy Domaine d'Auvenay Meursault Chaumes des Perrieres, Cote de Beaune, France","Leroy Domaine d'Auvenay Meursault, Cote de Beaune, France","Leroy Domaine d'Auvenay Puligny-Montrachet en La Richarde, Cote de Beaune, France","Leroy Clos de la Roche Grand Cru, Cote de Nuits, France","Leroy Domaine d'Auvenay Les Folatieres, Puligny-Montrachet Premier Cru, France","Leroy Corton-Renardes Grand Cru, Cote de Beaune, France","Leroy Aux Brulees, Vosne-Romanee Premier Cru, France","Leroy Domaine d'Auvenay Meursault Les Narvaux, Cote de Beaune, France","Leroy Chambolle-Musigny Les Fremieres, Cote de Nuits, France","Leroy Clos de Vougeot Grand Cru, Cote de Nuits, France","Leroy Latricieres-Chambertin Grand Cru, Cote de Nuits, France","Leroy Les Charmes, Chambolle-Musigny Premier Cru, France","Leroy Les Combottes, Gevrey-Chambertin Premier Cru, France","Leroy Domaine d'Auvenay Auxey-Duresses Les Clous, Cote de Beaune, France","Leroy Les Vignerondes, Nuits-Saint-Georges Premier Cru, France","Leroy Domaine d'Auvenay Auxey-Duresses, Cote de Beaune, France","Domaine de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits, France","Domaine Leflaive Montrachet Grand Cru, Cote de Beaune, France","Domaine Jean-Louis Chave Ermitage 'Cuvee Cathelin', Rhone, France","Domaine du Comte Liger-Belair La Romanee Grand Cru, Cote de Nuits, France","Domaine Jean Yves Bizot Echezeaux Grand Cru, Cote de Nuits, France","Domaine Georges & Christophe Roumier Musigny Grand Cru, Cote de Nuits, France","Egon Muller Scharzhofberger Riesling Trockenbeerenauslese, Mosel, Germany","Henri Jayer Echezeaux Grand Cru, Cote de Nuits, France","Domaine de la Romanee-Conti La Tache Grand Cru Monopole, Cote de Nuits, France","Coche-Dury Corton-Charlemagne Grand Cru, Cote de Beaune, France","Leroy Domaine d'Auvenay Les Gouttes d'Or, Meursault Premier Cru, France"
1/1/15,5218.56,1692.71,1763.68,3260.09,1484.33,1306.15,1351.45,4433.36,2206.11,1905.62,486.22,453.00,687.05,1654.96,646.28,1176.29,844.09,511.89,478.67,1206.49,1419.40,768.59,744.43,386.56,12794.23,5559.82,3565.11,2787.46,273.31,4788.21,6843.32,3581.72,2696.86,2361.64,,,
2/1/15,5065.06,1866.48,1909.60,3277.12,1495.34,1353.66,1406.02,4404.40,2229.92,1900.36,483.56,441.98,683.76,1726.34,639.10,1176.56,796.18,529.76,502.04,1204.28,1513.82,770.00,794.64,386.62,12996.06,5559.40,3854.62,2792.02,207.98,4755.52,6752.90,3614.38,2690.38,2447.06,,,
3/1/15,5219.96,2104.56,1944.72,3352.20,1536.21,1462.24,1315.72,4404.48,2280.68,1894.40,469.16,426.24,664.52,1644.28,631.96,1141.08,845.08,562.40,466.20,1241.72,1796.28,750.36,781.44,401.08,12813.84,5572.20,3834.68,2812.00,291.56,4722.68,6420.24,3657.08,2644.76,2400.56,,,
4/1/15,5011.69,2076.25,1854.28,3447.33,1491.88,1432.99,1371.08,4392.59,2296.71,1955.45,469.91,433.37,628.16,1688.18,632.69,1115.89,859.19,539.07,459.04,1232.16,1793.39,766.53,732.35,385.62,12949.76,5656.46￼,3743.29,2770.83,318.61,4733.85,6317.84,3785.57,2654.58,2458.28,,,
5/1/15,5070.42,2253.69,2181.78,3291.03,1514.70,1676.88,1369.35,4386.51,2314.89,1961.46,488.07,436.05,670.14,1742.67,618.12,1084.77,896.19,561.51,495.72,1230.12,1522.35,758.31,806.31,420.75,705.33,426.87,12985.11,5561.55,3886.26,2868.39,330.48,4912.83,6675.39,3769.92,2662.20,2538.27,716.04
6/1/15,4992.40,2527.70,2138.34,3182.39,1588.84,1612.39,1362.76,4505.90,2314.89,1934.24,496.12,489.84,660.97,1745.84,629.57,1064.46,896.58,598.17,472.57,1219.89,1532.22,756.60,769.30,419.19,701.79,389.36,13188.00,5557.19￼,3954.83,2842.32,293.59,4899.97,6686.63,3804.11,2706.68,2518.28,730.05
7/1/15,4664.40,2425.80,2233.92,3291.60,1605.24,1658.28,1306.32,4516.20,2317.32,1995.24,340.08,457.08,661.44,1761.24,630.24,1071.72,871.35,567.84,450.84,1255.80,1796.04,766.92,753.48,390.00,694.20,371.28,13280.28,5694.00,3765.84,2956.80,293.28,4829.76,6620.64,3781.44,2709.72,2572.44,748.80
8/1/15,4464.46,2519.44,2253.02,3409.56,1658.58,1800.26,1379.84,4467.54,2380.56,1946.56,349.58,485.10,676.06,1841.84,631.40,1085.70,837.72,597.72,465.08,1222.76,1564.64,776.72,760.76,405.02,688.38,380.38,13210.12,5782.70,4141.06,2932.08,291.06,4946.48,6940.78,3551.24,2707.32,2634.94,753.06
9/1/15,4778.88,2517.12,2280.00,3347.04,1749.52,2102.16,1424.24,4452.05,2403.94,2006.40,351.12,483.36,699.20,1816.40,652.08,1089.84,831.60,630.80,468.16,1225.12,1562.56,764.12,772.16,433.20,700.72,381.52,13198.16,5844.40￼,4003.68,2991.50,290.32,4885.28,7188.08,3874.48,2717.76,2609.84,785.84
10/1/15,4946.05,2743.50,2462.95,3441.00,1799.55,2002.60,1494.20,4522.90,2445.68,2142.10,353.40,500.65,717.65,1872.40,683.55,1162.50,916.56,672.70,489.80,1266.35,1782.50,764.56,813.75,440.20,713.00,375.10,13373.40,6035.70,3862.60,2077.36,280.55,5133.60,7827.50,3904.45,2797.75,2811.70,824.60
